station_uid,live_provider_key,provider,provider_station_id,station_name,water_year,water_month,month_label,month_start_water_day,n_daily_obs,monthly_min_daily_obs,monthly_mean_ok,swe_month_mean_in,swe_month_max_in,monthly_ref_ok,monthly_ref_n_years,min_years_for_monthly_context,monthly_ref_start_date,monthly_ref_end_date,monthly_ref_start_wy,monthly_ref_end_wy,monthly_ref_label,monthly_ref_wy_label,monthly_ref_p30_swe_in,monthly_ref_p50_swe_in,monthly_ref_p70_swe_in
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,11,Aug,305,2,10,FALSE,,0,TRUE,12,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.05879310344827586,0.23048433048433048,0.296
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2023,12,Sep,336,19,10,TRUE,0.021052631578947368,0.1,TRUE,14,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.024605263157894738,0.05459770114942529,0.25577777777777777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,1,Oct,1,30,10,TRUE,0.1,0.3,TRUE,23,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.03965217391304348,0.1,0.24230414746543777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,2,Nov,32,30,10,TRUE,0.6733333333333333,1.5,TRUE,29,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.5954444444444444,0.7233333333333334,1.304126984126984
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,3,Dec,62,31,10,TRUE,2.9870967741935486,3.5,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,2.6083870967741936,3.2250537634408603,4.1940769230769215
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,4,Jan,93,31,10,TRUE,5.909677419354838,8.2,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,4.932315789473685,6.518817204301075,8.05290322580645
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,5,Feb,124,28,10,TRUE,9.79642857142857,12.2,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,7.6373376623376625,9.610714285714286,13.000714285714286
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,6,Mar,152,30,10,TRUE,15.443333333333333,17.1,TRUE,34,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,8.364082313681868,11.868010752688171,14.711333333333332
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,7,Apr,183,29,10,TRUE,12.36896551724138,17,TRUE,33,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,3.6979310344827585,6.910526315789474,12.338697318007663
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,8,May,213,19,10,TRUE,0.7105263157894737,3.7,TRUE,24,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.15535714285714286,0.6393540669856459,2.68368817204301
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,9,Jun,244,12,10,TRUE,0,0,TRUE,18,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.0673076923076923,0.1367391304347826,0.18165154264972777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,10,Jul,274,9,10,FALSE,,0,TRUE,12,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.09655172413793103,0.15492610837438425,0.2531111111111111
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,11,Aug,305,18,10,TRUE,0.02777777777777778,0.2,TRUE,12,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.05879310344827586,0.23048433048433048,0.296
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2024,12,Sep,336,29,10,TRUE,0.07586206896551724,0.2,TRUE,14,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.024605263157894738,0.05459770114942529,0.25577777777777777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2025,1,Oct,1,31,10,TRUE,0.22903225806451613,0.6,TRUE,23,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.03965217391304348,0.1,0.24230414746543777
CDEC_snow_sensor_ADM,cdec_snow_sensor,CA DWR / CDEC / CCSS,ADM,ADIN MOUNTAIN,2025,2,Nov,32,29,10,TRUE,2.268965517241379,4.3,TRUE,29,10,1991-01-01,2025-09-01,1991,2025,Jan 1991–Sep 2025,WY1991–WY2025,0.5954444444444444,0.7233333333333334,1.304126984126984
