station_uid,live_provider_key,provider,source_system,station_type,station_type_label,provider_station_id,station_name,state,county,river_basin,huc,elevation_ft,latitude,longitude,lat_lon,record_start_date,record_start_year,record_end_date,record_end_year,period_of_record,station_status,nrcs_site_num,nrcs_station_triplet,nrcs_shef_id,cdec_id,operator_agency,owner_agency,official_station_url,official_data_url,source_metadata_url
CDEC_snow_sensor_DAN,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,DAN,DANA MEADOWS,CA,,,,9800,37.896162,-119.25726,"37.896162, -119.257260",1980-10-26,1980,,,1980–present,active,,,,DAN,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DAN,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=DAN,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_DDM,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,DDM,DEADMAN CREEK,CA,,,,9250,38.331596,-119.654114,"38.331596, -119.654114",1987-11-01,1987,,,1987–present,active,,,,DDM,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DDM,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=DDM,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_DPO,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,DPO,DEVILS POSTPILE,CA,,,,7569,37.62941,-119.084671,"37.629410, -119.084671",2007-10-01,2007,,,2007–present,active,,,,DPO,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DPO,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=DPO,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_DSS,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,DSS,DISMAL SWAMP,CA,,,,7050,41.993,-120.165,"41.993000, -120.165000",1985-10-01,1985,,,1985–present,active,,,,DSS,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DSS,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=DSS,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_EBB,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,EBB,EBBETTS PASS,CA,,,,8700,38.561,-119.808,"38.561000, -119.808000",1980-11-07,1980,,,1980–present,active,,,,EBB,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EBB,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=EBB,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_EP5,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,EP5,ECHO PEAK 5,CA,,,,7800,38.849,-120.079,"38.849000, -120.079000",1980-11-10,1980,,,1980–present,active,,,,EP5,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EP5,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=EP5,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_FLL,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,FLL,FALLEN LEAF LAKE,CA,,,,6250,38.932,-120.056,"38.932000, -120.056000",1975-11-11,1975,,,1975–present,active,,,,FLL,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FLL,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=FLL,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_FRW,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,FRW,FAREWELL GAP,CA,,,,9500,36.415211,-118.57898,"36.415211, -118.578980",2000-10-04,2000,,,2000–present,active,,,,FRW,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FRW,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=FRW,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_FDC,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,FDC,FORESTDALE CREEK,CA,,,,8017,38.6824,-119.9597,"38.682400, -119.959700",2005-01-26,2005,,,2005–present,active,,,,FDC,Natural Resources Conservation Service,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FDC,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=FDC,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
CDEC_snow_sensor_FRN,cdec_snow_sensor,CA DWR / CDEC / CCSS,CDEC,cdec_snow_sensor,CDEC snow sensor,FRN,FORNI RIDGE,CA,,,,7600,38.80397,-120.21592,"38.803970, -120.215920",1980-11-15,1980,,,1980–present,active,,,,FRN,CA Dept of Water Resources/DFM-Hydro-SMN,,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FRN,https://cdec.water.ca.gov/dynamicapp/QueryDaily?s=FRN,https://data.cnra.ca.gov/dataset/california-snow-data/resource/49baa289-3cc3-439a-af7a-727486dbf303
