river_km,lon,lat,label,source_file,source_km_field
116,-121.55763210585567,38.203161238043535,X2 116 km,01_raw_data/misc_reference/x2_km.shp,RKI
117,-121.55773990126646,38.212154548837184,X2 117 km,01_raw_data/misc_reference/x2_km.shp,RKI
118,-121.55691127281918,38.22111362082753,X2 118 km,01_raw_data/misc_reference/x2_km.shp,RKI
119,-121.55639489857235,38.229979811190134,X2 119 km,01_raw_data/misc_reference/x2_km.shp,RKI
120,-121.55751998205281,38.23853315566822,X2 120 km,01_raw_data/misc_reference/x2_km.shp,RKI
121,-121.54831481487358,38.241688927956446,X2 121 km,01_raw_data/misc_reference/x2_km.shp,RKI
122,-121.53729962092883,38.239264251834506,X2 122 km,01_raw_data/misc_reference/x2_km.shp,RKI
123,-121.52614762926655,38.23853820232059,X2 123 km,01_raw_data/misc_reference/x2_km.shp,RKI
124,-121.51573343213504,38.241157871345365,X2 124 km,01_raw_data/misc_reference/x2_km.shp,RKI
125,-121.51086325721118,38.2489584320588,X2 125 km,01_raw_data/misc_reference/x2_km.shp,RKI
126,-121.51598820268575,38.25664451007965,X2 126 km,01_raw_data/misc_reference/x2_km.shp,RKI
127,-121.52419663759066,38.26288863086194,X2 127 km,01_raw_data/misc_reference/x2_km.shp,RKI
128,-121.53261913689465,38.26897848469926,X2 128 km,01_raw_data/misc_reference/x2_km.shp,RKI
129,-121.54099032231227,38.27510869568156,X2 129 km,01_raw_data/misc_reference/x2_km.shp,RKI
130,-121.54868976484649,38.28175952688596,X2 130 km,01_raw_data/misc_reference/x2_km.shp,RKI
131,-121.55736871505232,38.2876085571726,X2 131 km,01_raw_data/misc_reference/x2_km.shp,RKI
132,-121.56457775441876,38.29459638856938,X2 132 km,01_raw_data/misc_reference/x2_km.shp,RKI
133,-121.57085224435352,38.30206640627354,X2 133 km,01_raw_data/misc_reference/x2_km.shp,RKI
134,-121.57614193603969,38.310044587179746,X2 134 km,01_raw_data/misc_reference/x2_km.shp,RKI
135,-121.57758385333408,38.31887611528712,X2 135 km,01_raw_data/misc_reference/x2_km.shp,RKI
136,-121.57554288265408,38.327558533196836,X2 136 km,01_raw_data/misc_reference/x2_km.shp,RKI
137,-121.5683570821101,38.334559615538666,X2 137 km,01_raw_data/misc_reference/x2_km.shp,RKI
138,-121.56078796809297,38.34130598540314,X2 138 km,01_raw_data/misc_reference/x2_km.shp,RKI
139,-121.55108528388352,38.34533125897723,X2 139 km,01_raw_data/misc_reference/x2_km.shp,RKI
140,-121.53989963838448,38.34727350064919,X2 140 km,01_raw_data/misc_reference/x2_km.shp,RKI
141,-121.53128838846666,38.35295134617481,X2 141 km,01_raw_data/misc_reference/x2_km.shp,RKI
142,-121.52445262675079,38.36016128312116,X2 142 km,01_raw_data/misc_reference/x2_km.shp,RKI
143,-121.52146490862316,38.368208188339366,X2 143 km,01_raw_data/misc_reference/x2_km.shp,RKI
144,-121.52356341180803,38.377044249652684,X2 144 km,01_raw_data/misc_reference/x2_km.shp,RKI
145,-121.5181698552555,38.38412593941685,X2 145 km,01_raw_data/misc_reference/x2_km.shp,RKI
146,-121.51391589768537,38.39163304275085,X2 146 km,01_raw_data/misc_reference/x2_km.shp,RKI
147,-121.5138807490509,38.40059249939144,X2 147 km,01_raw_data/misc_reference/x2_km.shp,RKI
148,-121.5177474188276,38.40888621787559,X2 148 km,01_raw_data/misc_reference/x2_km.shp,RKI
149,-121.52295875114409,38.416899297208715,X2 149 km,01_raw_data/misc_reference/x2_km.shp,RKI
150,-121.52911622604152,38.42446866641931,X2 150 km,01_raw_data/misc_reference/x2_km.shp,RKI
151,-121.53249448005207,38.432682259025455,X2 151 km,01_raw_data/misc_reference/x2_km.shp,RKI
152,-121.52254654044337,38.434765781582776,X2 152 km,01_raw_data/misc_reference/x2_km.shp,RKI
153,-121.51133781713139,38.43584021080287,X2 153 km,01_raw_data/misc_reference/x2_km.shp,RKI
154,-121.50297992550472,38.441348112881464,X2 154 km,01_raw_data/misc_reference/x2_km.shp,RKI
155,-121.50095913177844,38.450024981322926,X2 155 km,01_raw_data/misc_reference/x2_km.shp,RKI
156,-121.50282870233565,38.45890070193753,X2 156 km,01_raw_data/misc_reference/x2_km.shp,RKI
157,-121.50486779161068,38.467752949225854,X2 157 km,01_raw_data/misc_reference/x2_km.shp,RKI
158,-121.51230905014401,38.473536424914535,X2 158 km,01_raw_data/misc_reference/x2_km.shp,RKI
159,-121.52373223058886,38.47411362113371,X2 159 km,01_raw_data/misc_reference/x2_km.shp,RKI
160,-121.53517240730113,38.47341237761243,X2 160 km,01_raw_data/misc_reference/x2_km.shp,RKI
161,-121.54481711271248,38.47785913141537,X2 161 km,01_raw_data/misc_reference/x2_km.shp,RKI
162,-121.55084748064503,38.48551319790629,X2 162 km,01_raw_data/misc_reference/x2_km.shp,RKI
163,-121.55630109241275,38.49340820580542,X2 163 km,01_raw_data/misc_reference/x2_km.shp,RKI
164,-121.55852146818935,38.50180545707395,X2 164 km,01_raw_data/misc_reference/x2_km.shp,RKI
165,-121.55509818291404,38.510328119909374,X2 165 km,01_raw_data/misc_reference/x2_km.shp,RKI
166,-121.54664114399823,38.51508997655414,X2 166 km,01_raw_data/misc_reference/x2_km.shp,RKI
167,-121.53537257870148,38.516790522529554,X2 167 km,01_raw_data/misc_reference/x2_km.shp,RKI
168,-121.52524838546341,38.51981267165345,X2 168 km,01_raw_data/misc_reference/x2_km.shp,RKI
169,-121.52991785353318,38.52689641346636,X2 169 km,01_raw_data/misc_reference/x2_km.shp,RKI
170,-121.52485085770068,38.53293895990784,X2 170 km,01_raw_data/misc_reference/x2_km.shp,RKI
171,-121.51545167139379,38.53804798185547,X2 171 km,01_raw_data/misc_reference/x2_km.shp,RKI
172,-121.51052170886882,38.54572715890849,X2 172 km,01_raw_data/misc_reference/x2_km.shp,RKI
173,-121.5137878731336,38.55435061193708,X2 173 km,01_raw_data/misc_reference/x2_km.shp,RKI
174,-121.51916235433147,38.56212048307653,X2 174 km,01_raw_data/misc_reference/x2_km.shp,RKI
175,-121.51779640412668,38.569909303083165,X2 175 km,01_raw_data/misc_reference/x2_km.shp,RKI
176,-121.5100935793404,38.57650464498758,X2 176 km,01_raw_data/misc_reference/x2_km.shp,RKI
177,-121.50692470969673,38.58513586624566,X2 177 km,01_raw_data/misc_reference/x2_km.shp,RKI
