station_uid,station_name,station_type,station_type_label,network_group,provider,source_system,station_id,site_num,site_code,station_triplet,shef_id,state,county,basin,huc,elevation_ft,latitude,longitude,lat_lon,start_date,start_year,end_date,status,site_page_url,data_page_url,source_url
NRCS_scan_2149,Marble Creek,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2149,2149,2149,2149:CA:SCAN,MCXC1,CA,Mono,,180901020501,6180,37.77767,-118.4209,"37.777670, -118.420900",1.241568e+12,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2149,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2149,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2217,Monocline Ridge,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2217,2217,2217,2217:CA:SCAN,RGMC1,CA,Fresno,,180300090904,890,36.54417,-120.5546,"36.544170, -120.554600",1414540800000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2217,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2217,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2236,Rancheria,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2236,2236,2236,2236:CA:SCAN,RASC1,CA,Mono,,180901010405,7190,38.07666,-119.1142,"38.076660, -119.114200",1695686400000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2236,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2236,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2186,Shadow Mtns,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2186,2186,2186,2186:CA:SCAN,DWMC1,CA,San Bernardino,,180902031105,3580,35.46607,-115.7151,"35.466070, -115.715100",1321574400000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2186,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2186,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2219,Stubblefield,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2219,2219,2219,2219:CA:SCAN,DLFC1,CA,San Luis Obispo,,180600030101,3020,34.97018,-119.4783,"34.970180, -119.478300",1414713600000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2219,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2219,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2234,Vallecitos,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2234,2234,2234,2234:CA:SCAN,,CA,San Benito,,180400140302,1620,36.45976,-120.706,"36.459760, -120.706000",1666742400000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2234,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2234,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2216,Buckhorn,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2216,2216,2216,2216:NV:SCAN,BUCN2,NV,Washoe,,180800020104,6470,40.87959,-119.9534,"40.879590, -119.953400",1414108800000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2216,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2216,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2145,Charkiln,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2145,2145,2145,2145:NV:SCAN,CHAN2,NV,Clark,,160600150101,6700,36.36651,-115.8205,"36.366510, -115.820500",1193529600000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2145,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2145,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2141,Kyle Canyon,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2141,2141,2141,2141:NV:SCAN,KCYN2,NV,Clark,,150100150301,7010,36.26527,-115.6085,"36.265270, -115.608500",1193097600000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2141,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2141,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2146,Lovell Summit,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2146,2146,2146,2146:NV:SCAN,LSMN2,NV,Clark,,160600150401,6600,36.16555,-115.612,"36.165550, -115.612000",1.193616e+12,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2146,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2146,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2116,Lovelock NNR,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2116,2116,2116,2116:NV:SCAN,LUVN2,NV,Pershing,,160401081100,3930,40.09247,-118.4934,"40.092470, -118.493400",1159228800000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2116,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2116,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2144,Pine Nut,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2144,2144,2144,2144:NV:SCAN,NUTN2,NV,Clark,,150100150202,6780,36.57285,-115.2042,"36.572850, -115.204200",1193443200000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2144,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2144,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2229,Ruby,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2229,2229,2229,2229:NV:SCAN,RBYN2,NV,Elko,,160600071103,6010,40.63697,-115.2212,"40.636970, -115.221200",1566777600000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2229,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2229,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
NRCS_scan_2142,Trough Springs,scan,SCAN,Snow / soil climate stations,USDA NRCS NWCC,NRCS NWCC,2142,2142,2142,2142:NV:SCAN,TRUN2,NV,Clark,,160600150101,7860,36.37355,-115.7813,"36.373550, -115.781300",1193529600000,,4102444800000,active,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2142,https://wcc.sc.egov.usda.gov/nwcc/site?sitenum=2142,https://services.arcgis.com/SXbDpmb7xQkk44JV/ArcGIS/rest/services/stations_SCAN_ACTIVE/FeatureServer/0
